Time_Of_Day_Seconds,Busy%,Bzy_MHz,PkgTmp,PkgWatt,CorWatt
1787686876.130158,1.13,1711.0,44.0,10.53,2.93
1787686876.232118,6.52,2806.0,44.0,14.16,5.97
1787686876.337442,1.81,1814.0,44.0,9.32,1.83
1787686876.439595,5.88,3120.0,44.0,16.21,8.55
1787686876.54158,7.22,2232.0,45.0,13.85,5.69
1787686876.643568,1.28,1581.0,43.0,9.7,1.93
1787686876.746997,7.61,2380.0,46.0,12.94,4.89
1787686876.848854,2.23,2429.0,44.0,13.26,5.6
1787686876.951038,7.13,2298.0,44.0,14.25,5.92
1787686877.052991,1.07,1575.0,44.0,10.04,1.93
1787686877.154974,6.43,3148.0,45.0,17.03,8.85
1787686877.256231,18.67,1730.0,44.0,15.26,6.9
1787686877.357499,30.63,3261.0,46.0,47.39,38.81
1787686877.457982,35.42,3087.0,49.0,45.96,37.26
1787686877.558842,33.16,3053.0,47.0,43.14,34.59
1787686877.659855,31.85,3394.0,48.0,50.11,41.59
1787686877.760605,33.12,3485.0,50.0,54.94,46.17
1787686877.861158,34.16,3554.0,51.0,55.26,46.6
1787686877.961881,31.16,3638.0,50.0,57.27,48.59
1787686878.062319,34.32,3225.0,52.0,48.64,40.02
1787686878.162993,34.72,3424.0,52.0,53.34,44.79
1787686878.263683,34.53,3422.0,51.0,53.9,45.25
1787686878.364377,30.28,3613.0,50.0,56.2,47.46
1787686878.464875,34.35,3256.0,52.0,50.44,41.78
1787686878.565429,35.53,3335.0,53.0,53.09,44.34
1787686878.666539,33.23,3539.0,51.0,56.18,47.46
1787686878.767197,33.38,3407.0,51.0,53.3,44.58
1787686878.867651,33.78,3303.0,50.0,51.73,42.93
1787686878.968665,31.16,3648.0,52.0,57.9,49.07
1787686879.069305,34.36,3211.0,48.0,48.63,39.92
1787686879.170142,34.32,3163.0,50.0,47.52,38.79
1787686879.273315,33.94,3436.0,51.0,53.13,44.56
1787686879.374161,32.59,2995.0,49.0,44.11,35.24
1787686879.474648,33.74,3250.0,52.0,48.15,39.39
1787686879.575223,33.91,3236.0,50.0,49.24,40.47
1787686879.677357,31.21,3244.0,53.0,46.87,38.31
1787686879.778267,32.74,3203.0,49.0,48.54,39.7
1787686879.878802,34.48,3357.0,53.0,53.55,44.72
1787686879.979639,34.36,3276.0,51.0,50.83,42.16
1787686880.080204,29.99,3287.0,50.0,48.51,39.85
1787686880.18095,34.17,3383.0,52.0,51.51,42.77
1787686880.282425,32.73,3553.0,53.0,55.75,47.09
1787686880.383122,31.73,3498.0,52.0,55.41,46.52
1787686880.483586,34.43,3590.0,52.0,57.22,48.4
1787686880.584241,35.36,3439.0,51.0,55.1,46.36
1787686880.686317,32.95,3527.0,51.0,55.91,47.17
1787686880.786989,32.76,3487.0,52.0,55.85,46.89
1787686880.88855,34.32,3335.0,50.0,52.99,44.19
1787686880.989188,35.36,3356.0,52.0,53.68,44.82
1787686881.09023,30.63,3623.0,54.0,56.94,48.06
1787686881.191594,33.01,3400.0,51.0,52.05,43.3
1787686881.292518,33.11,3099.0,52.0,44.75,35.99
1787686881.393395,31.59,3540.0,54.0,55.63,46.86
1787686881.493988,34.78,3392.0,53.0,54.0,45.11
1787686881.594612,33.71,3455.0,53.0,53.63,44.88
1787686881.698027,32.13,3286.0,53.0,48.17,39.55
1787686881.798459,31.79,3499.0,52.0,56.43,47.32
1787686881.899083,34.18,3218.0,51.0,48.93,40.28
1787686881.999694,34.7,3333.0,52.0,52.67,43.79
1787686882.100758,31.59,3347.0,53.0,50.55,41.88
1787686882.201435,33.32,3214.0,51.0,48.37,39.58
1787686882.302003,34.6,3214.0,54.0,48.17,39.46
1787686882.402826,30.27,3636.0,52.0,57.56,48.7
1787686882.503648,35.64,3464.0,54.0,54.87,46.13
1787686882.604267,33.89,3449.0,55.0,54.79,45.95
1787686882.706316,2.81,3124.0,48.0,14.72,7.43
1787686882.808294,1.06,1661.0,47.0,9.73,1.74
1787686882.908977,21.09,2468.0,49.0,24.53,16.04
1787686883.009527,33.84,3279.0,53.0,50.41,41.63
1787686883.110061,33.75,3476.0,53.0,54.95,46.11
1787686883.211697,31.07,3612.0,53.0,56.37,47.71
1787686883.312225,32.17,3505.0,52.0,54.8,45.91
1787686883.41283,33.63,3099.0,51.0,44.69,36.0
1787686883.513726,31.65,3622.0,53.0,58.0,49.12
1787686883.614601,33.63,3418.0,54.0,53.55,44.77
