cycle,images,wall_s,effective_fps,mean_latency_ms,path_equivalent_fps,mismatches
90,10000,11.098738400000002,901.0033068262965,0.848622739315033,1178.379925109185,0
91,10000,11.112979880000012,899.8486551745642,0.848518967628479,1178.524037942127,0
92,10000,11.118686539999999,899.3868083270924,0.8494507670402527,1177.231263778014,0
93,10000,11.100383479999891,900.8697778790699,0.8482502102851868,1178.897438367618,0
94,10000,11.104185929999858,900.5612895028432,0.8487759828567505,1178.1671727259181,0
95,10000,11.086880959999917,901.9669315543977,0.8462494015693665,1181.6847351921356,0
96,10000,11.102519349999966,900.6964712022799,0.8483285307884216,1178.7885986465851,0
97,10000,11.100425000000087,900.8664082681448,0.8488352298736572,1178.084938992038,0
98,10000,11.094011369999862,901.3872139199119,0.8464040160179138,1181.4688742909218,0
99,10000,11.106929019999825,900.3388769292916,0.8487548828125,1178.1964619588666,0
100,10000,11.104318180000064,900.5505640149031,0.8481558561325073,1179.0285862788055,0
