perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2840427805740,1788986001.0220222,baseline,14.45,1.207,11.966,1354160
2840437804380,1788986001.0320199,baseline,14.425,1.205,11.967,1353430
2840447804930,1788986001.0420246,baseline,14.437,1.206,11.967,1357730
2840457805010,1788986001.0520194,baseline,14.437,1.206,11.966,1352220
2840467803570,1788986001.0620234,baseline,14.437,1.206,11.966,1357490
2840477804700,1788986001.0720217,baseline,14.437,1.206,11.967,1354790
2840487804790,1788986001.08202,baseline,14.437,1.206,11.966,1352980
2840497804680,1788986001.0920196,baseline,14.462,1.207,11.967,1352780
2840507805000,1788986001.1020234,baseline,14.425,1.205,11.966,1356250
2840517804520,1788986001.1120195,baseline,14.437,1.207,11.966,1352720
2840527804220,1788986001.1220217,baseline,14.412,1.205,11.966,1355340
2840537804770,1788986001.1320195,baseline,14.437,1.207,11.967,1352420
2840547804700,1788986001.1420214,baseline,14.437,1.206,11.966,1354550
2840557804940,1788986001.1520185,baseline,14.425,1.205,11.966,1351420
2840567805000,1788986001.1620274,baseline,14.437,1.206,11.967,1360130
2840577804240,1788986001.1720192,baseline,14.425,1.205,11.967,1352740
2840587804750,1788986001.182021,baseline,14.437,1.206,11.967,1354020
2840597805250,1788986001.1920207,baseline,14.437,1.206,11.966,1353560
2840607805600,1788986001.2020245,baseline,14.437,1.206,11.966,1356730
2840617804520,1788986001.2120194,baseline,14.437,1.206,11.966,1353130
2840627805600,1788986001.2220206,baseline,14.425,1.206,11.966,1352910
2840637804940,1788986001.2320237,baseline,14.45,1.207,11.966,1356750
2840647805110,1788986001.2420242,baseline,14.425,1.204,11.966,1356910
2840657804570,1788986001.2520196,baseline,14.45,1.207,11.966,1352970
2840667805650,1788986001.262025,baseline,14.437,1.206,11.966,1357080
2840677804620,1788986001.2720213,baseline,14.45,1.207,11.966,1354340
2840687805190,1788986001.2820234,baseline,14.45,1.207,11.966,1355720
2840697805410,1788986001.2920184,baseline,14.425,1.205,11.966,1351030
2840707805780,1788986001.3020236,baseline,14.45,1.207,11.966,1355970
2840717804440,1788986001.3120215,baseline,14.425,1.205,11.967,1355040
2840727805440,1788986001.3220239,baseline,14.462,1.208,11.966,1356440
2840737804770,1788986001.332021,baseline,14.425,1.206,11.966,1354080
2840747805450,1788986001.3420205,baseline,14.437,1.207,11.966,1352950
2840757805110,1788986001.3520186,baseline,14.437,1.206,11.967,1351330
2840767805680,1788986001.3620384,baseline,14.425,1.205,11.967,1370620
2840777805170,1788986001.3720217,baseline,14.45,1.208,11.966,1354540
2840787804250,1788986001.3820229,baseline,14.412,1.204,11.967,1356730
2840797804880,1788986001.3920217,baseline,14.45,1.207,11.967,1354900
2840807805490,1788986001.4020262,baseline,14.425,1.205,11.966,1358640
2840817804550,1788986001.412018,baseline,14.437,1.207,11.966,1351300
2840827803780,1788986001.422041,baseline,14.425,1.205,11.967,1374910
2840837805200,1788986001.4320223,baseline,14.437,1.206,11.966,1354980
2840847805900,1788986001.4420254,baseline,14.45,1.207,11.967,1357260
2840857805500,1788986001.4520204,baseline,14.425,1.206,11.967,1352950
2840867805280,1788986001.4620214,baseline,14.45,1.207,11.967,1353860
