cycle,inferences,correct_unique,latency_mean_ms,latency_median_ms,latency_std_sample_ms,latency_p95_ms,latency_min_ms,latency_max_ms,cycle_duration_s,throughput_fps
288,30,29,0.16285296666666665,0.1595025,0.01154863893005499,0.1785692,0.151963,0.210738,0.007189488,4172.758894652859
289,30,29,0.1869311,0.167228,0.046776792558106614,0.29017865,0.14869,0.298835,0.00846813,3542.694786216083
290,30,29,0.15866860000000002,0.15619149999999998,0.013140124711002161,0.1847653,0.143936,0.199978,0.007739055,3876.442278805358
291,30,29,0.22157879999999996,0.22369050000000001,0.01543376996964326,0.24716524999999998,0.196537,0.249999,0.008640647,3471.9622269026845
292,30,29,0.16958986666666664,0.16638199999999997,0.022147139165657234,0.20610425,0.143941,0.243885,0.007972605,3762.8855311406996
293,30,29,0.15079553333333334,0.147567,0.012445879597164936,0.16552654999999997,0.141518,0.209369,0.007428102,4038.716754293358
294,30,29,0.1544869666666667,0.151331,0.011877091126178168,0.17335074999999997,0.143088,0.203038,0.007409925,4048.6239739268613
295,30,29,0.15189789999999997,0.14869900000000003,0.012223191736655136,0.1703135,0.140413,0.204029,0.007484185,4008.452490150898
296,30,29,0.15382996666666668,0.150059,0.014348159916827334,0.17000659999999995,0.144037,0.221097,0.00756621,3964.99700642726
297,30,29,0.15198256666666668,0.149334,0.010238249499096373,0.1704001,0.142928,0.193639,0.007478359,4011.5752667129245
298,30,29,0.1530136,0.150345,0.012274076614191165,0.17312199999999997,0.140725,0.202934,0.007535593,3981.1067290921897
299,30,29,0.15378679999999997,0.150844,0.011535392785563975,0.17343865,0.144133,0.198114,0.007547354,3974.902992492468
300,30,29,0.15334456666666668,0.14964650000000002,0.013984182583543633,0.16985164999999997,0.142872,0.217721,0.0074476,4028.143294484129
301,30,29,0.15361290000000002,0.149,0.013249946020319453,0.1744178,0.140407,0.207566,0.00760222,3946.2157106739874
302,30,29,0.16082000000000002,0.149592,0.03482177395013761,0.21503269999999994,0.141424,0.31665,0.007922367,3786.747066880391
303,30,29,0.15333510000000003,0.14929,0.016130009672165043,0.18596059999999992,0.142569,0.216548,0.007531452,3983.2956513564714
304,30,29,0.1504154666666667,0.147923,0.01263287945097983,0.16774534999999996,0.13986,0.205336,0.007351657,4080.712688309588
305,30,29,0.17090373333333328,0.1584485,0.031935652647087115,0.22750659999999998,0.145547,0.284213,0.008124312,3692.6203720388876
306,30,29,0.20022506666666665,0.1937525,0.03220836826786109,0.25200215,0.153403,0.259452,0.00822646,3646.7690841504123
307,30,29,0.21334059999999996,0.2033625,0.041077129523658884,0.2861184,0.165083,0.336652,0.008821614,3400.738232255458
308,30,29,0.15784973333333335,0.1509575,0.017796985504008402,0.19018519999999997,0.143367,0.228717,0.007741501,3875.21748043435
309,30,29,0.15349546666666664,0.1513215,0.007754415132721145,0.16876254999999998,0.144457,0.17784,0.007588924,3953.1295872774585
310,30,29,0.1532126666666667,0.150407,0.010006259245689871,0.17456755,0.143188,0.188613,0.007562238,3967.0795867572538
311,30,29,0.15903293333333338,0.153327,0.0154776986659969,0.18879664999999995,0.144878,0.213298,0.007773384,3859.323043863522
