received_perf_counter_ns,seconds_since_first_sample,timestamp_local,system_cpu_percent,process_cpu_percent,process_rss_mib,process_vms_mib,process_threads,system_memory_percent,load1,load5,load15,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,package_temperature_c,core_temperature_mean_c,core_temperature_max_c,fan_rpm
89741409624852,3.400958184,2026-09-01T15:00:39.575374-03:00,0.8,0.0,720.4921875,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,932.63225,800.0,1730.392,51.0,47.0625,49.0,932.0
89741508655248,3.49998858,2026-09-01T15:00:39.674404-03:00,0.0,0.0,720.4921875,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,955.2647499999999,799.506,1913.41,51.0,47.0625,49.0,932.0
89741609730942,3.601064274,2026-09-01T15:00:39.775480-03:00,0.4,0.0,720.4921875,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,960.3010833333333,800.0,1795.254,51.0,47.0625,49.0,932.0
89741709487364,3.700820696,2026-09-01T15:00:39.875236-03:00,0.8,0.0,720.49609375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,980.0960833333334,800.0,1976.924,51.0,47.0625,49.0,932.0
89741810853185,3.802186517,2026-09-01T15:00:39.976603-03:00,0.4,0.0,720.49609375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,875.836375,800.0,1799.36,51.0,47.0625,49.0,932.0
89741909127123,3.900460455,2026-09-01T15:00:40.074877-03:00,0.4,0.0,720.49609375,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,935.0000416666667,800.0,1734.285,51.0,47.0625,49.0,932.0
89742008966902,4.000300234,2026-09-01T15:00:40.174716-03:00,0.8,10.0,720.49609375,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,871.84775,800.0,1643.002,51.0,47.0,49.0,932.0
89742109304753,4.100638085,2026-09-01T15:00:40.275054-03:00,0.0,10.0,720.5,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,890.6690416666667,800.0,1998.593,50.0,46.75,49.0,932.0
89742209484580,4.200817912,2026-09-01T15:00:40.375233-03:00,0.8,0.0,720.5,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,1021.6035833333334,800.0,1879.818,50.0,46.75,49.0,932.0
89742308664481,4.299997813,2026-09-01T15:00:40.474413-03:00,0.4,0.0,720.5,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,968.6153333333333,800.0,1727.11,50.0,46.75,49.0,932.0
89742408836603,4.400169935,2026-09-01T15:00:40.574586-03:00,0.8,0.0,720.5,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,947.4840833333333,800.0,1778.697,50.0,46.75,49.0,932.0
89742509405725,4.500739057,2026-09-01T15:00:40.675155-03:00,0.8,0.0,720.50390625,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,902.1284166666666,800.0,1715.021,50.0,46.75,49.0,932.0
89742609334041,4.600667373,2026-09-01T15:00:40.775083-03:00,0.4,0.0,720.50390625,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,877.9338333333334,800.0,1582.694,50.0,46.75,49.0,932.0
89742709718980,4.701052312,2026-09-01T15:00:40.875468-03:00,0.8,10.0,720.50390625,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,920.4808333333334,800.0,1637.888,50.0,46.75,49.0,932.0
89742808806315,4.800139647,2026-09-01T15:00:40.974555-03:00,0.4,0.0,720.50390625,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,947.6877083333334,800.0,2083.296,50.0,46.75,49.0,932.0
89742908578898,4.89991223,2026-09-01T15:00:41.074327-03:00,0.8,0.0,720.50390625,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,988.6061666666666,800.0,2100.059,50.0,46.75,49.0,932.0
89743009275199,5.000608531,2026-09-01T15:00:41.175024-03:00,0.4,0.0,720.50390625,9755.3671875,107,27.3,0.2431640625,0.16259765625,0.1640625,1013.1495416666667,800.0,1880.673,50.0,46.9375,52.0,932.0
89743110955709,5.102289041,2026-09-01T15:00:41.276703-03:00,4.5,108.0,720.7734375,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1846.9075416666667,800.0,5103.884,65.0,50.0,65.0,932.0
89743209999849,5.201333181,2026-09-01T15:00:41.375750-03:00,5.0,111.2,720.8984375,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1778.7973333333332,797.306,5100.0,65.0,50.0,65.0,933.0
89743310154626,5.301487958,2026-09-01T15:00:41.475902-03:00,5.0,119.8,720.97265625,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1794.8727083333333,800.0,5100.339,65.0,50.0,65.0,933.0
89743410394970,5.401728302,2026-09-01T15:00:41.576143-03:00,4.6,99.8,720.9921875,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1973.3022083333335,800.0,5100.0,65.0,50.0,65.0,933.0
89743510489069,5.501822401,2026-09-01T15:00:41.676237-03:00,4.6,109.9,721.015625,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1560.4382916666666,799.043,5100.055,65.0,50.0,65.0,933.0
89743610739329,5.602072661,2026-09-01T15:00:41.776487-03:00,4.6,119.8,721.0390625,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,2024.36125,800.0,4961.892,65.0,50.0,65.0,933.0
89743710037338,5.70137067,2026-09-01T15:00:41.875785-03:00,4.6,100.5,721.0625,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1928.7150416666666,800.0,5100.0,65.0,50.0,65.0,933.0
89743810495687,5.801829019,2026-09-01T15:00:41.976243-03:00,4.6,109.6,721.08203125,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,2099.255333333333,799.875,5100.0,65.0,50.0,65.0,933.0
