passage,samples,accelerator_mean_ms,device_call_mean_ms,application_e2e_mean_ms,passage_duration_ms,passage_throughput_inf_s
2750,30,0.17796366666666666,0.4858606666666667,0.6901933333333333,21.51909,1394.1109963293056
2751,30,0.18147666666666665,0.4928476666666667,0.6982446666666665,21.76837,1378.146365575374
2752,30,0.17653400000000002,0.48494666666666664,0.6881346666666668,21.45809,1398.0741063160795
2753,30,0.17619400000000005,0.4833193333333334,0.6869936666666666,21.42329,1400.3451383984439
2754,30,0.17611866666666667,0.4832086666666667,0.6861240000000001,21.41511,1400.8800328366278
2755,30,0.18191933333333335,0.49549666666666664,0.7018183333333334,21.87657,1371.330149104727
2756,30,0.17638300000000004,0.4830166666666667,0.6866850000000001,21.4196,1400.5863788306037
2757,30,0.17579066666666668,0.4828180000000001,0.6863720000000001,21.40401,1401.6065213948227
2758,30,0.17569533333333337,0.48216,0.6857386666666666,21.3826,1403.009923956862
2759,30,0.17659899999999995,0.48328466666666664,0.6864903333333332,21.4045,1401.5744352823006
2760,30,0.18213866666666664,0.4940840000000001,0.7003383333333332,21.83734,1373.7936946532866
2761,30,0.17617633333333332,0.4834673333333334,0.6870736666666666,21.46547,1397.59343727391
2762,30,0.1762356666666667,0.48209799999999997,0.6857966666666666,21.39729,1402.046707784023
2763,30,0.17619966666666667,0.48325133333333337,0.6863366666666668,21.40147,1401.772868873026
2764,30,0.18155666666666667,0.4980663333333333,0.7043406666666666,21.96834,1365.6015884677677
2765,30,0.17648566666666665,0.4829996666666666,0.6872620000000002,21.43719,1399.437146379726
2766,30,0.17494800000000002,0.4814813333333333,0.6848373333333335,21.38268,1403.0046748115765
2767,30,0.17619866666666664,0.4825383333333333,0.6862603333333333,21.39855,1401.9641517766393
2768,30,0.175806,0.4824710000000001,0.686014,21.39503,1402.194808794379
2769,30,0.18212800000000004,0.49494333333333335,0.7015576666666665,21.87151,1371.6474079750324
2770,30,0.17693799999999998,0.4833203333333333,0.6870126666666666,21.42625,1400.1516830990024
2771,30,0.17605766666666664,0.483977,0.6876369999999998,21.46884,1397.374054676452
2772,30,0.17639666666666665,0.483106,0.6869229999999998,21.42286,1400.373246149207
2773,30,0.18249300000000002,0.49442600000000003,0.7008173333333333,21.84675,1373.201963678808
2774,30,0.176485,0.4840773333333333,0.6871786666666666,21.4732,1397.0903265465788
2775,30,0.17649866666666666,0.48337899999999995,0.6875443333333333,21.43792,1399.389493010516
2776,30,0.17646666666666674,0.4834866666666667,0.6866653333333333,21.41092,1401.1541774010645
2777,30,0.17641099999999998,0.482991,0.686291333333333,21.39994,1401.873089363802
2778,30,0.18349633333333332,0.49506866666666666,0.7013149999999999,21.88492,1370.8069300687414
2779,30,0.17736300000000002,0.4850593333333334,0.6884146666666667,21.4682,1397.4157125422719
2780,30,0.17671833333333337,0.483227,0.6861136666666668,21.41524,1400.8715288738301
2781,30,0.17731566666666668,0.483732,0.6867146666666667,21.42779,1400.0510551951463
2782,30,0.18103999999999995,0.493714,0.6993616666666667,21.80686,1375.7138808613436
2783,30,0.178811,0.48606499999999997,0.6944043333333333,21.69414,1382.861915706269
2784,30,0.17632799999999998,0.4836673333333333,0.6866800000000001,21.41372,1400.9709662776947
2785,30,0.17593266666666665,0.48319733333333326,0.6867003333333332,21.41412,1400.9447971712125
2786,30,0.17627199999999998,0.48258899999999993,0.6858843333333333,21.38839,1402.630118489517
2787,30,0.18387600000000007,0.4968213333333332,0.7025056666666669,21.89993,1369.8673922702035
2788,30,0.17557466666666663,0.4822883333333333,0.685795,21.41391,1400.958535830215
2789,30,0.1757526666666667,0.4838713333333333,0.6871249999999999,21.42717,1400.0915659884158
2790,30,0.1761,0.48362933333333324,0.6869440000000001,21.41866,1400.6478463171834
