perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2453201474170,1788985613.7956884,baseline,14.437,1.206,11.966,1351930
2453211473360,1788985613.8057022,baseline,14.437,1.206,11.966,1366730
2453221473200,1788985613.8156872,baseline,14.45,1.208,11.966,1351810
2453231474190,1788985613.825717,baseline,14.437,1.206,11.966,1380370
2453241474390,1788985613.8356898,baseline,14.45,1.207,11.966,1353300
2453251474230,1788985613.8457048,baseline,14.412,1.205,11.966,1368210
2453261474750,1788985613.8556876,baseline,14.45,1.207,11.966,1350680
2453271474710,1788985613.8657193,baseline,14.425,1.205,11.965,1382470
2453281474480,1788985613.8756886,baseline,14.437,1.206,11.966,1351730
2453291473640,1788985613.885704,baseline,14.45,1.207,11.966,1368080
2453301473900,1788985613.8956907,baseline,14.412,1.205,11.966,1354720
2453311473460,1788985613.905717,baseline,14.462,1.208,11.967,1381340
2453321474390,1788985613.91569,baseline,14.425,1.205,11.966,1353350
2453331473840,1788985613.9257052,baseline,14.437,1.206,11.966,1369400
2453341474000,1788985613.935688,baseline,14.425,1.205,11.966,1351620
2453351473490,1788985613.9457183,baseline,14.425,1.206,11.966,1382440
2453361474140,1788985613.9556868,baseline,14.437,1.207,11.966,1350300
2453371474340,1788985613.9657176,baseline,14.412,1.205,11.966,1380950
2453381474560,1788985613.9756873,baseline,14.45,1.208,11.966,1350340
2453391474310,1788985613.9857187,baseline,14.412,1.205,11.967,1382310
2453401473630,1788985613.9956882,baseline,14.437,1.206,11.966,1352330
2453411472660,1788985614.0056975,baseline,14.425,1.205,11.966,1362470
2453421473530,1788985614.0156872,baseline,14.45,1.207,11.966,1351210
2453431472870,1788985614.025724,baseline,14.437,1.207,11.966,1388940
2453441473820,1788985614.0356865,baseline,14.425,1.206,11.965,1350400
2453451473930,1788985614.0457075,baseline,14.45,1.207,11.966,1371320
2453461473880,1788985614.0556862,baseline,14.437,1.206,11.966,1349970
2453471474700,1788985614.065719,baseline,14.45,1.207,11.966,1381640
2453481474890,1788985614.0756896,baseline,14.437,1.207,11.967,1352350
2453491474540,1788985614.085704,baseline,14.437,1.206,11.966,1367500
2453501474580,1788985614.0956883,baseline,14.425,1.206,11.966,1351800
2453511474340,1788985614.1057117,baseline,14.425,1.206,11.966,1374790
2453521473390,1788985614.1156852,baseline,14.45,1.207,11.966,1349650
2453531474340,1788985614.1257024,baseline,14.437,1.206,11.966,1365500
2453541473960,1788985614.1356876,baseline,14.437,1.206,11.966,1351520
2453544046730,1788985614.1383042,baseline_boundary_after,14.437,1.206,11.966,1394610
2453553812550,1788985614.1490757,benchmark,14.525,1.213,11.965,2404430
2453554899010,1788985614.1497664,benchmark_boundary_before,14.525,1.213,11.965,2004520
2453561684770,1788985614.160224,benchmark,14.762,1.234,11.96,5679050
2453571672430,1788985614.1692584,benchmark,14.9,1.245,11.96,4725160
2453581493900,1788985614.180106,benchmark,14.825,1.237,11.961,5751370
2453591768130,1788985614.1901765,benchmark,14.812,1.237,11.961,5547690
2453601605670,1788985614.19965,benchmark,14.8,1.237,11.96,5183730
2453611714630,1788985614.2099879,benchmark,14.787,1.236,11.961,5412640
2453621645010,1788985614.2188454,benchmark,14.787,1.236,11.96,4339660
2453631692610,1788985614.229545,benchmark,14.8,1.237,11.96,4991960
2453641606310,1788985614.239775,benchmark,14.775,1.235,11.961,5307930
2453651611650,1788985614.2484748,benchmark,14.787,1.236,11.961,4002570
2453661729570,1788985614.2593162,benchmark,14.8,1.235,11.961,4726100
2453671587150,1788985614.268102,benchmark,14.8,1.237,11.961,3654040
2453681747450,1788985614.2791445,benchmark,14.8,1.236,11.961,4536410
2453691597390,1788985614.2902808,benchmark,14.8,1.237,11.96,5822670
2453701726430,1788985614.2995083,benchmark,14.787,1.236,11.96,4921210
2453711878580,1788985614.3095188,benchmark,14.8,1.237,11.961,4779360
2453721748980,1788985614.3205194,benchmark,14.825,1.239,11.96,5909920
2453731874710,1788985614.3298917,benchmark,14.837,1.239,11.96,5156050
2453741566520,1788985614.3389988,benchmark,14.825,1.239,11.961,4571560
2453751526680,1788985614.3491457,benchmark,14.825,1.239,11.96,4758100
2453761700580,1788985614.3601103,benchmark,14.825,1.239,11.96,5549070
2453771671130,1788985614.3665764,benchmark,14.825,1.239,11.96,2044200
2453781894910,1788985614.3791664,benchmark,14.725,1.231,11.96,4410830
2453791528630,1788985614.3895748,benchmark,14.812,1.24,11.96,5185240
2453801594360,1788985614.3990283,benchmark,14.837,1.239,11.96,4573010
2453811547470,1788985614.4095547,benchmark,14.825,1.239,11.961,5146240
2453821747360,1788985614.4199739,benchmark,14.825,1.239,11.96,5365270
2453832050710,1788985614.4300694,benchmark,14.825,1.239,11.96,5158160
2453841575960,1788985614.4413762,benchmark,14.837,1.24,11.96,6940060
2453852252370,1788985614.4500692,benchmark,14.825,1.24,11.96,4955890
2453861567860,1788985614.4599621,benchmark,14.825,1.24,11.96,5532980
2453872057860,1788985614.469297,benchmark,14.825,1.24,11.96,4377920
2453881493620,1788985614.479135,benchmark,14.825,1.239,11.96,4780320
2453891591980,1788985614.4899926,benchmark,14.825,1.239,11.96,5539780
2453901597270,1788985614.4981148,benchmark,14.837,1.24,11.96,3656280
2453911548270,1788985614.508981,benchmark,14.812,1.238,11.96,4571620
2453921924180,1788985614.519374,benchmark,14.825,1.239,11.96,4588940
2453931766080,1788985614.5300095,benchmark,14.812,1.238,11.96,5382740
2453941696040,1788985614.5389338,benchmark,14.812,1.237,11.96,4376670
2453951878890,1788985614.5495296,benchmark,14.812,1.238,11.96,4789470
2453961543360,1788985614.5605319,benchmark,14.812,1.238,11.96,6127430
2453971493310,1788985614.570293,benchmark,14.812,1.238,11.96,5938990
2453981742660,1788985614.5795927,benchmark,14.825,1.239,11.96,4989370
2453991814550,1788985614.589639,benchmark,14.75,1.233,11.96,4963520
2454001683550,1788985614.599491,benchmark,14.812,1.239,11.96,4946160
2454011527830,1788985614.6091695,benchmark,14.812,1.237,11.96,4780610
2454021545850,1788985614.6199281,benchmark,14.812,1.238,11.96,5521090
2454031586450,1788985614.6286445,benchmark,14.825,1.239,11.961,4196880
2454041575650,1788985614.6395504,benchmark,14.825,1.239,11.96,5113750
