cpu 0 pkg 0 die 0 l3 0 node 0 lnode 0 core 0 ht_id 0 siblings 0 1 -1 -1
cpu 1 pkg 0 die 0 l3 0 node 0 lnode 0 core 0 ht_id 1 siblings 0 1 -1 -1
cpu 2 pkg 0 die 0 l3 0 node 0 lnode 0 core 4 ht_id 0 siblings 2 3 -1 -1
cpu 3 pkg 0 die 0 l3 0 node 0 lnode 0 core 4 ht_id 1 siblings 2 3 -1 -1
cpu 4 pkg 0 die 0 l3 0 node 0 lnode 0 core 8 ht_id 0 siblings 4 5 -1 -1
cpu 5 pkg 0 die 0 l3 0 node 0 lnode 0 core 8 ht_id 1 siblings 4 5 -1 -1
cpu 6 pkg 0 die 0 l3 0 node 0 lnode 0 core 12 ht_id 0 siblings 6 7 -1 -1
cpu 7 pkg 0 die 0 l3 0 node 0 lnode 0 core 12 ht_id 1 siblings 6 7 -1 -1
cpu 8 pkg 0 die 0 l3 0 node 0 lnode 0 core 16 ht_id 0 siblings 8 9 -1 -1
cpu 9 pkg 0 die 0 l3 0 node 0 lnode 0 core 16 ht_id 1 siblings 8 9 -1 -1
cpu 10 pkg 0 die 0 l3 0 node 0 lnode 0 core 20 ht_id 0 siblings 10 11 -1 -1
cpu 11 pkg 0 die 0 l3 0 node 0 lnode 0 core 20 ht_id 1 siblings 10 11 -1 -1
cpu 12 pkg 0 die 0 l3 0 node 0 lnode 0 core 24 ht_id 0 siblings 12 13 -1 -1
cpu 13 pkg 0 die 0 l3 0 node 0 lnode 0 core 24 ht_id 1 siblings 12 13 -1 -1
cpu 14 pkg 0 die 0 l3 0 node 0 lnode 0 core 28 ht_id 0 siblings 14 15 -1 -1
cpu 15 pkg 0 die 0 l3 0 node 0 lnode 0 core 28 ht_id 1 siblings 14 15 -1 -1
cpu 16 pkg 0 die 0 l3 0 node 0 lnode 0 core 32 ht_id 0 siblings 16 -1 -1 -1
cpu 17 pkg 0 die 0 l3 0 node 0 lnode 0 core 33 ht_id 0 siblings 17 -1 -1 -1
cpu 18 pkg 0 die 0 l3 0 node 0 lnode 0 core 34 ht_id 0 siblings 18 -1 -1 -1
cpu 19 pkg 0 die 0 l3 0 node 0 lnode 0 core 35 ht_id 0 siblings 19 -1 -1 -1
cpu 20 pkg 0 die 0 l3 0 node 0 lnode 0 core 36 ht_id 0 siblings 20 -1 -1 -1
cpu 21 pkg 0 die 0 l3 0 node 0 lnode 0 core 37 ht_id 0 siblings 21 -1 -1 -1
cpu 22 pkg 0 die 0 l3 0 node 0 lnode 0 core 38 ht_id 0 siblings 22 -1 -1 -1
cpu 23 pkg 0 die 0 l3 0 node 0 lnode 0 core 39 ht_id 0 siblings 23 -1 -1 -1
Time_Of_Day_Seconds	Busy%	Bzy_MHz	PkgTmp	PkgWatt	CorWatt
1788466624.312535	15.88	2301	57	23.89	15.78
1788466624.413162	17.31	3052	57	37.94	28.65
1788466624.513995	19.06	2559	55	29.41	20.70
1788466624.614653	19.06	2650	56	29.57	21.00
1788466624.715029	14.44	2891	57	33.11	24.32
1788466624.815433	20.38	3339	62	43.36	34.74
1788466624.917214	17.30	3071	57	37.16	28.66
1788466625.018046	15.78	2843	56	34.51	25.63
1788466625.118433	18.80	3018	61	37.71	28.85
1788466625.218894	19.06	2914	58	36.10	27.35
1788466625.319471	14.29	3309	58	40.12	31.99
1788466625.420174	18.87	3252	55	40.21	31.33
1788466625.520684	18.73	2993	59	34.68	25.76
1788466625.621378	18.94	2698	58	31.06	22.35
1788466625.722098	14.77	2974	55	35.48	26.83
1788466625.822634	18.62	3275	60	41.80	32.83
1788466625.923260	20.01	3407	61	44.11	35.01
1788466626.023977	14.74	3098	57	36.16	28.07
1788466626.124740	19.17	2765	58	31.94	23.36
1788466626.225525	18.62	3005	60	36.40	27.89
1788466626.325954	14.33	2956	60	34.86	26.10
1788466626.426453	19.01	2999	57	37.37	28.34
1788466626.527020	18.95	3325	57	41.30	32.35
1788466626.628312	17.02	2750	58	31.20	22.85
1788466626.728710	15.54	3167	63	37.70	28.61
1788466626.829247	18.88	3399	62	43.08	34.37
1788466626.929603	18.89	3376	60	44.02	35.15
1788466627.032127	16.54	3398	60	41.69	33.05
1788466627.132748	17.57	3439	63	45.60	36.45
1788466627.233179	19.02	3229	63	42.27	33.37
1788466627.333610	14.37	3494	63	43.27	34.60
1788466627.434280	19.02	3104	58	38.47	29.47
1788466627.535085	18.73	3279	58	42.64	33.77
1788466627.635957	18.82	2733	58	31.48	22.97
1788466627.736442	14.42	2581	63	29.04	20.39
1788466627.836901	18.95	3342	59	43.35	34.60
1788466627.937381	18.87	3222	60	40.95	31.99
1788466628.040434	17.73	3315	59	40.82	32.47
1788466628.140901	15.64	3469	60	44.96	35.95
1788466628.241388	14.34	2693	57	30.54	21.83
1788466628.343552	8.47	3315	55	28.53	20.54
1788466628.445736	0.45	1399	55	9.86	1.76
1788466628.546230	18.68	2727	62	32.91	23.99
1788466628.646738	14.32	3322	59	40.83	32.18
1788466628.747317	18.83	3264	63	40.56	31.63
1788466628.848206	19.10	2742	56	34.51	25.55
1788466628.949426	15.88	2419	56	26.04	17.59
1788466629.050003	16.50	3260	61	40.66	32.04
1788466629.150397	18.93	3213	59	41.04	32.13
1788466629.250830	18.93	3425	60	44.04	35.10
1788466629.351706	15.18	3534	63	43.63	35.20
1788466629.452122	17.26	3424	59	43.28	34.15
1788466629.552417	18.62	3361	63	41.88	32.88
1788466629.653273	19.58	3531	64	44.83	35.98
1788466629.753624	14.54	3555	63	45.27	36.07
1788466629.854240	18.65	3519	60	44.87	35.75
1788466629.954611	18.87	3342	60	43.36	34.85
1788466630.055071	13.92	3534	64	43.72	34.97
1788466630.155442	18.13	3553	63	45.12	35.97
1788466630.255982	18.90	3483	63	44.49	35.47
1788466630.356325	18.82	3507	63	44.43	35.98
1788466630.456875	14.21	3476	62	42.75	34.14
1788466630.557357	18.61	3238	58	40.75	31.62
1788466630.657811	19.02	2623	63	30.50	21.48
1788466630.758212	16.68	3142	60	38.98	30.41
1788466630.858801	18.24	3319	62	41.54	33.06
1788466630.959524	18.66	2764	62	30.99	22.52
1788466631.060426	14.25	2853	58	33.48	24.59
1788466631.160907	19.25	2932	60	37.24	28.51
1788466631.261461	19.52	2895	63	34.08	25.41
1788466631.362181	14.16	2840	58	32.33	24.17
1788466631.462671	18.75	2998	59	36.71	27.61
1788466631.563120	19.03	3311	59	41.88	33.07
1788466631.663802	14.52	3159	58	38.24	29.24
1788466631.764604	19.06	2724	58	33.86	25.13
1788466631.865292	18.91	2970	59	33.51	25.10
1788466631.965763	15.26	3464	62	43.40	34.68
1788466632.066181	19.04	3131	60	39.45	30.83
1788466632.166854	19.01	3286	63	42.30	33.71
1788466632.267347	13.60	3390	60	42.40	33.47
1788466632.367764	19.15	3084	62	38.01	29.04
1788466632.468200	19.14	3144	63	40.78	31.65
1788466632.570242	16.42	2690	58	29.92	21.70
1788466632.670732	16.91	3210	61	41.53	32.25
1788466632.771100	18.09	2986	62	34.51	25.46
1788466632.871600	18.76	3432	63	44.75	35.63
1788466632.972231	14.54	3246	61	39.45	30.78
1788466633.072678	20.81	3320	60	42.66	33.53
1788466633.174596	16.12	2937	59	35.97	26.94
1788466633.275288	16.64	3139	58	38.59	29.54
1788466633.375701	18.85	2913	62	35.00	25.99
1788466633.477214	18.89	3203	59	39.68	30.86
1788466633.577737	14.35	3504	64	44.61	35.57
1788466633.678165	18.95	3449	62	44.09	35.23
1788466633.778554	19.01	3374	61	43.78	34.80
1788466633.879312	15.73	3343	60	41.09	32.51
1788466633.980260	16.50	2866	58	34.41	25.40
1788466634.080729	19.14	2650	63	32.32	23.19
1788466634.181228	19.05	3217	63	40.50	32.03
1788466634.281889	15.44	3490	60	43.62	34.83
1788466634.382627	18.50	3346	62	42.63	34.09
1788466634.484081	16.77	3432	60	42.83	33.95
1788466634.584433	15.79	3515	61	44.28	35.46
1788466634.684858	18.93	3501	64	44.47	35.48
1788466634.786580	10.93	3529	58	38.05	29.61
1788466634.888705	0.33	1473	57	9.49	1.23
1788466634.990715	0.30	1454	57	8.88	1.14
1788466635.091409	14.17	2629	63	25.48	16.63
1788466635.192342	18.03	3301	60	41.71	33.06
1788466635.292989	15.18	3490	63	43.87	35.03
1788466635.393510	20.33	3455	64	45.69	36.73
1788466635.494765	14.91	3531	61	44.22	35.05
1788466635.595376	17.60	2867	58	33.15	24.27
1788466635.696080	19.11	3199	63	40.92	32.12
1788466635.796469	18.96	3290	60	42.35	33.51
1788466635.897183	13.53	3073	59	36.67	27.78
