epoch_s,monotonic_s,system_percent,process_percent,frequency_mhz,package_temp_c,rss_mib
1788467013.3182683,100333.493135532,11.6,291.1,2.199791666666667,70.0,795.36328125
1788467013.5014136,100333.676280693,13.8,294.9,3.5664999999999982,70.0,795.36328125
1788467013.6349163,100333.809783599,13.0,299.6,3.566541666666666,70.0,795.36328125
1788467013.7727928,100333.947660101,13.9,290.0,1.9993333333333334,70.0,795.36328125
1788467013.9216704,100334.096537502,11.7,275.4,2.243833333333334,70.0,795.36328125
1788467014.0708272,100334.245694306,8.9,295.0,3.4687083333333333,70.0,795.36328125
1788467014.2068179,100334.381684899,13.8,286.7,2.7660416666666663,70.0,795.36328125
1788467014.3694582,100334.544325386,11.7,289.0,2.883333333333333,70.0,795.36328125
1788467014.5773685,100334.752235812,13.6,293.4,2.514958333333334,70.0,795.36328125
1788467014.7548113,100334.929678592,12.6,286.9,3.2337916666666664,70.0,795.36328125
1788467014.9241893,100335.099056699,13.1,283.9,2.1895833333333337,70.0,795.36328125
1788467015.0888343,100335.263701709,12.1,278.8,1.9997500000000004,70.0,795.36328125
1788467015.2559326,100335.430799772,9.7,281.9,2.5142500000000005,70.0,795.36328125
1788467015.4296384,100335.60450556,12.0,287.9,3.5661666666666663,67.0,795.36328125
1788467015.635902,100335.810769074,13.0,290.5,2.9125416666666664,67.0,795.36328125
1788467015.7704654,100335.94533244,11.8,283.0,2.6502916666666674,67.0,795.36328125
1788467015.9191325,100336.093999474,12.6,309.4,3.5662499999999997,67.0,795.36328125
1788467016.0601127,100336.234979797,12.7,297.4,3.369166666666667,67.0,795.36328125
1788467016.198626,100336.373493059,11.8,296.5,3.5617083333333333,67.0,795.36328125
1788467016.3353205,100336.510187856,11.9,292.6,2.622458333333333,67.0,795.36328125
1788467016.4767256,100336.651592569,10.7,290.0,3.566374999999999,67.0,795.36328125
1788467016.6145313,100336.789398479,12.0,290.3,3.009041666666667,68.0,795.36328125
1788467016.7967937,100336.971660751,9.9,279.8,2.048833333333334,68.0,795.36328125
1788467016.9445891,100337.119456071,12.7,304.6,3.1116250000000005,68.0,795.36328125
1788467017.0867114,100337.26157836,13.8,294.9,3.031791666666667,68.0,795.36328125
1788467017.2282827,100337.403149676,12.0,290.1,2.0176250000000002,68.0,795.36328125
1788467017.3740873,100337.54895464,12.5,287.5,2.5652083333333335,68.0,795.36328125
