cycle,inferences,correct_unique,latency_mean_ms,latency_median_ms,latency_std_sample_ms,latency_p95_ms,latency_min_ms,latency_max_ms,cycle_duration_s,throughput_fps
109,30,29,0.1580561666666667,0.15499200000000002,0.011366432088370574,0.17487514999999998,0.144436,0.201247,0.007696565,3897.842738936136
110,30,29,0.16310786666666668,0.1522685,0.0317722366537455,0.22626634999999987,0.146183,0.295129,0.007837795,3827.607126749296
111,30,29,0.16071973333333336,0.154243,0.025071972026662507,0.2146741499999998,0.145895,0.255473,0.007952711,3772.298528137135
112,30,29,0.15164426666666664,0.1502675,0.006575761143479284,0.15849825,0.145083,0.180656,0.007467674,4017.3151639988573
113,30,29,0.15411116666666663,0.1526135,0.007802174467386652,0.16626414999999997,0.146242,0.184907,0.007614663,3939.7672621887536
114,30,29,0.17059513333333334,0.1549875,0.04621386376382751,0.24848679999999995,0.145766,0.374147,0.008116654,3696.104330676163
115,30,29,0.16626436666666666,0.15989799999999998,0.02692155958422777,0.18471129999999994,0.14918,0.301538,0.007558173,3969.2131947760395
116,30,29,0.17927416666666668,0.16139599999999998,0.05004513919148794,0.31696535,0.154359,0.341323,0.007935279,3780.585408528169
117,30,29,0.16534480000000001,0.1634835,0.012061930583737272,0.18164414999999998,0.153108,0.216228,0.007049776,4255.454357698741
118,30,29,0.166285,0.160856,0.019680200566681925,0.2018368499999999,0.154264,0.249838,0.007090601,4230.9530602554
119,30,29,0.17664203333333334,0.16452850000000002,0.0362727239562422,0.2653740499999998,0.153063,0.296556,0.007868836,3812.507974495846
120,30,29,0.16232886666666665,0.1592275,0.013157263610103248,0.18256419999999998,0.149523,0.220809,0.007149684,4195.989640940775
121,30,29,0.1660331,0.1636495,0.012075561225909531,0.18594879999999997,0.15347,0.21378,0.007326662,4094.6340912137066
122,30,29,0.16156856666666666,0.1578815,0.013888239238671501,0.17664634999999998,0.147604,0.221652,0.007064216,4246.755761715101
123,30,29,0.16452659999999997,0.154157,0.02731437081855984,0.21151474999999995,0.147417,0.278023,0.007925123,3785.4302072030937
124,30,29,0.16582313333333332,0.157858,0.022369181479226608,0.22159705,0.148253,0.229095,0.007953506,3771.9214645717243
